economy,AFG,AFG,AFG,AFG,AFG,AFG,AFG,AFG,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,IND,IND,IND,IND,IND,IND,IND,IND,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK
series,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS
YR1972,,300.694,,,103.342627187096,18.1058497936081,,,,5848.865,,,99.5241942723763,11.951252356585,,,,381.368,,,,,,,,256.69,,,,,,,,2555.899,,,104.133151040771,13.1615917925493,,,,1628.148,,,100.701024548073,13.8416560243878,,,,52702.124,,,109.141102653775,20.7131395656391,,,,1206.443,,,105.743108355026,3.70891033572639,,,,267.691,,,85.8208084852492,72.003265633449,,,,5412.492,,,101.470561337406,8.64594955462477,,
YR1973,,333.697,,,101.794875071335,14.7435907141683,,,,6490.59,,,97.5256366518834,10.9991772190002,,,,385.035,,,,,,,,348.365,,,,,,,,2266.206,,,102.496869969784,15.387967150585,,,,2159.863,,,101.780322432143,14.7856018915624,,,,57040.185,,,112.35013741507,24.7402435300405,,,,1169.773,,,106.971977048829,4.72333282643708,,,,502.379,,,79.804311600841,71.8585599497474,,,,6178.895,,,99.4621584780418,14.2209447045576,,
YR1974,,399.703,,,100.824745486024,14.8453612226592,,,,7715.368,,,98.6285487130222,13.1911087554245,,,,839.743,,,,,,,,737.067,,,,,,,,2258.872,,,100.323657345793,19.3037988446122,,,,2071.855,,,105.984273102916,18.5108462003354,,,,68217.201,,,116.857147069163,31.6085039066487,,,,1360.457,,,109.482242069026,6.02056925037022,,,,671.061,,,72.4500344814126,76.3857949592078,,,,7011.304,,,103.679825656625,17.2549998864952,,
YR1975,,476.71,,,101.596249705834,14.2723007777117,,,,8375.428,,,99.5903306817066,14.7074091221572,,,,2225.869,,,,,,,,1184.441,,,,,,,,2258.872,,,102.863339279027,26.5716213896745,,,,2541.231,,,104.946724564759,16.710153201616,,,,71440.494,,,115.089611435474,27.064252246646,,,,1734.491,,,106.179777559175,6.64691605611397,,,,784.738,,,88.2910986769998,82.6693749664184,,,,7605.358,,,109.013967962728,20.7010064488276,,
YR1976,,300.694,,,101.65217590586,14.8695654136106,,,,9266.509,,,100.207491274572,13.3574007220217,,,,3894.354,,,,,,,,1239.446,,,,,,,,1598.812,,,96.4623121264475,20.3068969582393,,,,3314.968,,,105.51511876618,17.5106306193778,,,,74099.069,,,115.714826573967,29.0871355735805,,,,2295.542,,,103.942439343117,6.11469021104386,,,,898.415,,,86.8984657419853,77.1785682456082,,,,7990.393,,,107.650118130772,18.2979963793685,,
YR1977,,513.38,,,103.160269661332,14.8231754979077,,,,11059.672,,,101.234465272871,14.6255039694085,,,,4968.785,,,,,,,,1415.462,,,,,,,,1507.137,,,102.678753568031,22.0214253681111,,,,3069.279,,,103.026996881321,15.911744180479,,,,79075.188,,,112.258385051984,28.9211191120306,,,,2482.559,,,105.059769893537,6.26492932389808,,,,946.086,,,88.8185618917837,77.6280350670011,,,,8874.14,,,108.514304030772,17.8573336538718,,
YR1978,,300.694,,,103.030297879808,13.8720537510231,,,,13813.589,,,101.602375016652,14.5660075741717,,,,5298.815,,,,,,,,1554.808,,,,,,,,913.083,,,104.447374592361,23.6573945517486,,,,3091.281,,,100.136998729372,13.8456738534888,,,,81590.75,,,110.56495949487,26.6523238355132,,,,2742.916,,,109.235506446161,6.5881866082292,,,,1041.428,,,90.9510761275695,77.2482710618813,,,,9090.493,,,109.057243639911,18.4876427688364,,
YR1979,,385.035,,,,,,,,15298.724,,,101.977455825034,15.3305440739462,,,,5669.182,,,,,,,,1738.158,,,,,,,,1419.129,,,103.782872834565,25.548069158749,,,,3509.319,,,100.620864429354,14.1318428721198,,,,89265.781,,,110.434459436643,26.9678657745317,,,,3032.609,,,108.122449416675,8.16916637412405,,,,1081.765,,,88.7607510007499,81.4698847282731,,,,9750.553,,,110.773927096427,21.8192545468538,,
YR1980,,187.017,,,,,,,,17685.941,,,100.32824869666,15.8814442942653,,,,7253.326,,,103.02973905626,30.6886123066186,,,,1983.847,,,102.061458416852,48.3600682251801,,,,1433.797,,,105.241977988909,26.4487468113575,,,,3989.696,,,103.305121283889,17.2698145700509,,,,88495.711,,,107.873309419697,24.3901985627136,,,,2489.893,,,108.575667424841,9.2450257161908,,,,971.755,,,93.0430819131313,83.6966861353645,,,,11543.716,,,110.71530752117,23.3061034507791,,
